Store_ID,Day_of_Week,Month,Holiday,Promo,Temperature,Rainfall,Store_Size,Store_Location_Type,Competitor_Distance,Customer_Satisfaction,Marketing_Spend,Special_Event,Sales
3,3,4,0,0,31.388870355270008,7.888069818707443,Small,Suburban,2.4383385289745387,7.8,2546.162027292112,0,1334
1,5,10,1,0,37.74920965027006,1.737534753075668,Medium,Urban,5.773307018371719,5.6,3045.101848803005,0,1343
3,1,5,0,1,31.134431695667324,7.708541085409898,Large,Rural,7.464177312281911,7.2,2969.3019200047274,0,1729
3,4,9,0,0,34.41626192621013,9.47297888256338,Large,Suburban,6.351861777471701,7.3,3309.116116932525,1,1348
1,1,8,0,1,36.1062993471581,1.6637758693227234,Small,Urban,2.286234978846453,9.3,4462.308582498209,0,1777
1,4,3,0,1,39.77457563910886,7.709842925321356,Large,Suburban,3.8761534025145243,7.7,4922.957374333718,0,1697
3,1,1,0,1,32.06394804353959,7.085720046026294,Small,Suburban,7.946021952611273,6.9,2630.336834295268,0,1760
2,6,3,0,0,36.13700297925172,4.735738884350885,Small,Suburban,5.765151884254158,9.9,4310.075688425212,1,1510
3,5,4,1,1,39.25298637109749,0.5792046055879829,Small,Urban,0.5496813286576709,5.6,4058.111178618871,1,1988
3,4,2,0,1,38.888194511545464,0.7469441775785401,Small,Rural,7.729412220266892,7.1,3294.115805822293,1,1730
3,7,1,0,1,22.82163697555427,8.524146591986476,Small,Rural,0.8354578719322712,5.2,4824.188574447732,1,1397
3,3,7,1,0,28.12784616547044,9.90148372750647,Large,Urban,7.5844709359467055,8.7,1801.898062113611,1,1773
1,1,8,1,0,26.479801222135993,6.760522571867544,Medium,Suburban,2.4235653215697557,9.6,1437.0568412384857,1,1866
3,1,7,1,1,21.738500299006986,4.459583070103214,Medium,Urban,9.601698061134112,6.4,4415.847867821689,1,2177
2,4,5,1,0,32.66481549821921,6.475736434019076,Large,Urban,3.9954371373698025,9.3,2756.599266534993,0,1453
1,3,12,1,0,34.71809226392004,5.943958592285453,Large,Urban,3.6058503552117513,6.5,4387.875416828241,0,1629
2,3,1,1,0,36.962561909337666,3.836122604056218,Medium,Suburban,1.9144364781582244,9.6,4572.36082078166,0,1610
2,6,7,1,0,22.45553779325417,0.6562614457401295,Medium,Urban,3.403240047157041,8.8,1249.8303744762857,0,987
2,7,7,0,0,37.52888151750588,8.21512947407441,Medium,Suburban,8.828182237367905,9.0,4533.859051944242,1,1378
2,6,9,0,0,32.858511272285064,3.7183352923872457,Medium,Urban,9.96517620745885,5.1,2793.2762214776885,0,918
1,6,3,1,0,34.078922702770186,8.187856433570937,Medium,Rural,3.998940539815059,9.8,3041.7299560169286,0,1355
1,6,9,0,0,38.21248007080608,2.525087496883822,Small,Urban,4.761800994068154,8.6,3506.3700443728408,0,1125
2,6,1,0,0,32.495225420865026,0.010294798456333965,Large,Urban,7.359673912926002,6.5,4705.530426920347,0,822
2,6,1,0,0,26.717317142996702,1.5893828327675652,Small,Rural,8.918859914418208,9.1,1076.464377719056,1,1081
1,5,4,1,1,36.5021466284532,4.6853941676858435,Medium,Suburban,6.133921174774449,6.4,2907.373873271268,1,1841
1,3,9,1,1,27.26118424390181,9.443036349578298,Medium,Suburban,4.219494132689379,9.4,3750.8881697222428,1,2037
1,6,6,0,0,20.684562216410583,1.0219361969371898,Medium,Urban,4.419907488061925,5.6,3890.827830792914,0,780
3,3,11,1,1,36.61309013130499,8.54209774461566,Small,Rural,7.108372391719665,8.5,3770.129726148432,1,2220
3,3,3,0,1,26.903842897625513,5.270240962118621,Small,Suburban,0.5305735042406474,7.7,1537.7405176324874,0,1463
3,2,1,0,0,35.4766904640268,8.259207657998966,Medium,Urban,6.386098705868487,5.5,2197.582353486725,1,1549
2,5,4,0,0,27.25515789331891,2.983744309899926,Small,Rural,3.8771835991928953,6.2,2434.8621016680536,1,1238
3,6,12,0,0,37.22136039949443,8.399471646724718,Small,Suburban,8.0448746471323,5.1,4217.74883071802,1,1035
2,1,9,1,1,24.390210501619173,7.728227800168045,Medium,Suburban,1.3834110783197555,7.3,2115.039489658212,1,2131
2,4,3,1,1,39.4909453039774,2.300536830314339,Small,Rural,6.08792153600971,6.5,1842.8198554688126,1,1981
3,7,12,1,0,35.595175495760614,1.3133512640937806,Large,Rural,5.069242453918176,8.0,4829.792076152385,0,1442
2,1,9,0,0,22.284758518407937,8.680543225322928,Large,Rural,6.60209249609966,6.5,1035.4531404538757,1,1464
3,5,7,1,0,31.31553239933121,9.632366534401319,Large,Rural,1.1161091475881992,6.5,4991.283422727913,0,1324
3,4,12,0,1,39.707346244834696,0.3130231374751624,Large,Urban,6.009845980567247,8.7,3707.2851954295825,0,1732
